"Week End","Week End Last Year","Region","Crude Volumes For The Week","Percent Of Capacity","4 Week Average","4 Week Average Last Year","YTD Average","YTD Average Last Year","Unit"
"01/09/1990","01/02/1990","Ontario","81.310","78.710","82.340","83.360","82.340","83.360","thousand cubic metres per day"
"01/09/1990","01/02/1990","Quebec & Eastern Canada","85.750","94.130","85.900","86.050","85.900","86.050","thousand cubic metres per day"
"01/09/1990","01/02/1990","Western Canada","64.960","76.780","64.370","63.770","64.370","63.770","thousand cubic metres per day"
"01/16/1990","01/02/1990","Ontario","82.340","79.710","82.340","83.360","82.340","83.360","thousand cubic metres per day"
"01/16/1990","01/02/1990","Quebec & Eastern Canada","91.850","100.820","87.880","86.050","87.880","86.050","thousand cubic metres per day"
"01/16/1990","01/02/1990","Western Canada","65.240","77.120","64.660","63.770","64.660","63.770","thousand cubic metres per day"
"01/23/1990","01/02/1990","Ontario","81.770","79.160","82.200","83.360","82.200","83.360","thousand cubic metres per day"
"01/23/1990","01/02/1990","Quebec & Eastern Canada","92.470","101.500","89.030","86.050","89.030","86.050","thousand cubic metres per day"
"01/23/1990","01/02/1990","Western Canada","66.670","78.810","65.160","63.770","65.160","63.770","thousand cubic metres per day"
"01/30/1990","01/02/1990","Ontario","84.750","82.040","82.550","83.360","82.710","83.360","thousand cubic metres per day"
"01/30/1990","01/02/1990","Quebec & Eastern Canada","86.680","95.150","89.190","86.050","88.560","86.050","thousand cubic metres per day"
"01/30/1990","01/02/1990","Western Canada","66.450","78.550","65.830","63.770","65.420","63.770","thousand cubic metres per day"
"02/06/1990","01/02/1990","Ontario","85.030","82.310","83.480","83.360","83.090","83.360","thousand cubic metres per day"
"02/06/1990","01/02/1990","Quebec & Eastern Canada","81.070","88.990","88.020","86.050","87.310","86.050","thousand cubic metres per day"
"02/06/1990","01/02/1990","Western Canada","66.710","78.850","66.270","63.770","65.630","63.770","thousand cubic metres per day"
"02/13/1990","01/02/1990","Ontario","81.830","79.220","83.350","83.360","82.910","83.360","thousand cubic metres per day"
"02/13/1990","01/02/1990","Quebec & Eastern Canada","81.210","89.140","85.360","86.050","86.440","86.050","thousand cubic metres per day"
"02/13/1990","01/02/1990","Western Canada","67.340","79.600","66.800","63.770","65.880","63.770","thousand cubic metres per day"
"02/20/1990","01/02/1990","Ontario","83.260","80.600","83.720","83.360","82.960","83.360","thousand cubic metres per day"
"02/20/1990","01/02/1990","Quebec & Eastern Canada","89.890","98.670","84.710","86.050","86.870","86.050","thousand cubic metres per day"
"02/20/1990","01/02/1990","Western Canada","70.730","83.610","67.810","63.770","66.480","63.770","thousand cubic metres per day"
"02/27/1990","01/02/1990","Ontario","81.900","79.280","83.010","83.360","82.840","83.360","thousand cubic metres per day"
"02/27/1990","01/02/1990","Quebec & Eastern Canada","88.650","97.310","85.210","86.050","87.070","86.050","thousand cubic metres per day"
"02/27/1990","01/02/1990","Western Canada","72.730","85.970","69.380","63.770","67.180","63.770","thousand cubic metres per day"
"03/06/1990","01/02/1990","Ontario","78.920","76.400","81.480","83.360","82.450","83.360","thousand cubic metres per day"
"03/06/1990","01/02/1990","Quebec & Eastern Canada","88.660","97.320","87.100","86.050","87.230","86.050","thousand cubic metres per day"
"03/06/1990","01/02/1990","Western Canada","72.810","86.060","70.900","63.770","67.740","63.770","thousand cubic metres per day"
"03/13/1990","01/02/1990","Ontario","77.100","74.640","80.300","83.360","81.960","83.360","thousand cubic metres per day"
"03/13/1990","01/02/1990","Quebec & Eastern Canada","84.010","92.220","87.800","86.050","86.940","86.050","thousand cubic metres per day"
"03/13/1990","01/02/1990","Western Canada","74.440","87.990","72.680","63.770","68.350","63.770","thousand cubic metres per day"
"03/20/1990","01/02/1990","Ontario","73.360","71.020","77.820","83.360","81.250","83.360","thousand cubic metres per day"
"03/20/1990","01/02/1990","Quebec & Eastern Canada","77.440","85.010","84.690","86.050","86.150","86.050","thousand cubic metres per day"
"03/20/1990","01/02/1990","Western Canada","73.240","86.570","73.310","63.770","68.760","63.770","thousand cubic metres per day"
"03/27/1990","01/02/1990","Ontario","81.600","78.990","77.750","83.360","81.270","83.360","thousand cubic metres per day"
"03/27/1990","01/02/1990","Quebec & Eastern Canada","81.730","89.710","82.960","86.050","85.810","86.050","thousand cubic metres per day"
"03/27/1990","01/02/1990","Western Canada","75.920","89.740","74.110","63.770","69.310","63.770","thousand cubic metres per day"
"04/03/1990","01/02/1990","Ontario","79.610","77.070","77.920","83.360","81.150","83.360","thousand cubic metres per day"
"04/03/1990","01/02/1990","Quebec & Eastern Canada","80.900","88.800","81.020","86.050","85.450","86.050","thousand cubic metres per day"
"04/03/1990","01/02/1990","Western Canada","75.800","89.600","74.850","63.770","69.770","63.770","thousand cubic metres per day"
"04/10/1990","01/02/1990","Ontario","83.090","80.440","79.420","83.360","81.280","83.360","thousand cubic metres per day"
"04/10/1990","01/02/1990","Quebec & Eastern Canada","82.560","90.630","80.660","86.050","85.260","86.050","thousand cubic metres per day"
"04/10/1990","01/02/1990","Western Canada","70.980","83.900","73.990","63.770","69.850","63.770","thousand cubic metres per day"
